Submission ID,Respondent ID,Submitted at,ref,"After the protocol, how would you describe the situation — for yourself or the person you were listening with ?"
sub_0454,resp_0454,2026-03-10 00:00:00,H-SL-L1-VOL001,7
sub_0793,resp_0793,2026-03-23 00:00:00,T-MB-L2-VOL001,5
sub_0210,resp_0210,2026-02-11 00:00:00,H-AX-L1-VOL001,8
sub_0310,resp_0310,2026-02-25 00:00:00,H-AX-L3-VOL001,9
sub_0740,resp_0740,2026-01-25 00:00:00,T-CF-L3-VOL001,9
sub_0579,resp_0579,2026-03-18 00:00:00,H-SL-L3-VOL001,6
sub_0915,resp_0915,2026-03-15 00:00:00,X-MD-L1-VOL001,5
sub_0546,resp_0546,2026-01-04 00:00:00,H-SL-L2-VOL001,8
sub_0437,resp_0437,2026-01-31 00:00:00,H-CR-L3-VOL001,4
sub_0678,resp_0678,2026-02-27 00:00:00,T-CF-L1-VOL001,7
sub_0934,resp_0934,2026-01-31 00:00:00,X-MD-L2-VOL001,6
sub_0636,resp_0636,2026-01-12 00:00:00,T-FC-L2-VOL001,7
sub_0865,resp_0865,2026-03-20 00:00:00,X-ME-L2-VOL001,3
sub_0604,resp_0604,2026-02-10 00:00:00,T-FC-L1-VOL001,4
sub_0889,resp_0889,2026-01-17 00:00:00,X-ME-L3-VOL001,4
sub_0071,resp_0071,2026-03-04 00:00:00,H-OS-L1-VOL001,6
sub_0823,resp_0823,2026-03-08 00:00:00,X-ME-L1-VOL001,6
sub_0469,resp_0469,2026-01-13 00:00:00,H-SL-L1-VOL001,8
sub_0383,resp_0383,2026-01-19 00:00:00,H-CR-L2-VOL001,9
sub_0209,resp_0209,2026-03-25 00:00:00,H-AX-L1-VOL001,6
sub_0571,resp_0571,2026-01-09 00:00:00,H-SL-L3-VOL001,8
sub_0378,resp_0378,2026-03-11 00:00:00,H-CR-L2-VOL001,6
sub_0897,resp_0897,2026-01-17 00:00:00,X-ME-L3-VOL001,7
sub_0877,resp_0877,2026-02-14 00:00:00,X-ME-L2-VOL001,6
sub_0900,resp_0900,2026-03-17 00:00:00,X-ME-L3-VOL001,5
sub_0060,resp_0060,2026-03-06 00:00:00,H-OS-L1-VOL001,6
sub_0169,resp_0169,2026-01-05 00:00:00,H-OS-L3-VOL001,8
sub_0250,resp_0250,2026-02-08 00:00:00,H-AX-L2-VOL001,5
sub_0809,resp_0809,2026-02-02 00:00:00,T-MB-L3-VOL001,7
sub_0345,resp_0345,2026-03-12 00:00:00,H-CR-L1-VOL001,2
sub_0596,resp_0596,2026-02-27 00:00:00,T-FC-L1-VOL001,7
sub_0319,resp_0319,2026-02-04 00:00:00,H-AX-L3-VOL001,6
sub_0626,resp_0626,2026-02-14 00:00:00,T-FC-L2-VOL001,6
sub_0543,resp_0543,2026-01-14 00:00:00,H-SL-L2-VOL001,8
sub_0623,resp_0623,2026-03-13 00:00:00,T-FC-L1-VOL001,6
sub_0694,resp_0694,2026-03-17 00:00:00,T-CF-L1-VOL001,6
sub_0159,resp_0159,2026-01-21 00:00:00,H-OS-L3-VOL001,6
sub_0199,resp_0199,2026-02-08 00:00:00,H-AX-L1-VOL001,9
sub_0663,resp_0663,2026-03-06 00:00:00,T-FC-L3-VOL001,7
sub_0598,resp_0598,2026-02-22 00:00:00,T-FC-L1-VOL001,7
sub_0788,resp_0788,2026-02-08 00:00:00,T-MB-L2-VOL001,3
sub_0381,resp_0381,2026-01-20 00:00:00,H-CR-L2-VOL001,8
sub_0936,resp_0936,2026-02-10 00:00:00,X-MD-L3-VOL001,4
sub_0426,resp_0426,2026-01-27 00:00:00,H-CR-L3-VOL001,7
sub_0200,resp_0200,2026-02-21 00:00:00,H-AX-L1-VOL001,8
sub_0577,resp_0577,2026-02-12 00:00:00,H-SL-L3-VOL001,6
sub_0267,resp_0267,2026-03-01 00:00:00,H-AX-L2-VOL001,7
sub_0737,resp_0737,2026-02-20 00:00:00,T-CF-L2-VOL001,6
sub_0077,resp_0077,2026-01-25 00:00:00,H-OS-L2-VOL001,6
sub_0869,resp_0869,2026-01-16 00:00:00,X-ME-L2-VOL001,7
sub_0635,resp_0635,2026-01-04 00:00:00,T-FC-L2-VOL001,6
sub_0527,resp_0527,2026-02-20 00:00:00,H-SL-L2-VOL001,7
sub_0782,resp_0782,2026-03-06 00:00:00,T-MB-L1-VOL001,10
sub_0024,resp_0024,2026-01-12 00:00:00,H-OS-L1-VOL001,5
sub_0031,resp_0031,2026-03-18 00:00:00,H-OS-L1-VOL001,8
sub_0328,resp_0328,2026-02-01 00:00:00,H-AX-L3-VOL001,8
sub_0011,resp_0011,2026-02-01 00:00:00,H-OS-L1-VOL001,6
sub_0540,resp_0540,2026-02-18 00:00:00,H-SL-L2-VOL001,8
sub_0542,resp_0542,2026-02-17 00:00:00,H-SL-L2-VOL001,8
sub_0741,resp_0741,2026-01-29 00:00:00,T-CF-L3-VOL001,6
sub_0055,resp_0055,2026-03-06 00:00:00,H-OS-L1-VOL001,8
sub_0975,resp_0975,2026-01-04 00:00:00,X-MC-L2-VOL001,7
sub_0871,resp_0871,2026-01-10 00:00:00,X-ME-L2-VOL001,7
sub_0515,resp_0515,2026-03-06 00:00:00,H-SL-L2-VOL001,9
sub_0707,resp_0707,2026-03-24 00:00:00,T-CF-L1-VOL001,5
sub_0372,resp_0372,2026-03-14 00:00:00,H-CR-L1-VOL001,8
sub_0508,resp_0508,2026-02-23 00:00:00,H-SL-L2-VOL001,5
sub_0731,resp_0731,2026-01-11 00:00:00,T-CF-L2-VOL001,6
sub_0261,resp_0261,2026-03-04 00:00:00,H-AX-L2-VOL001,10
sub_0881,resp_0881,2026-02-07 00:00:00,X-ME-L2-VOL001,7
sub_0097,resp_0097,2026-02-22 00:00:00,H-OS-L2-VOL001,8
sub_0108,resp_0108,2026-02-28 00:00:00,H-OS-L2-VOL001,4
sub_0651,resp_0651,2026-01-20 00:00:00,T-FC-L2-VOL001,8
sub_0175,resp_0175,2026-03-10 00:00:00,H-AX-L1-VOL001,5
sub_0522,resp_0522,2026-01-15 00:00:00,H-SL-L2-VOL001,10
sub_0912,resp_0912,2026-01-11 00:00:00,X-MD-L1-VOL001,9
sub_0040,resp_0040,2026-01-02 00:00:00,H-OS-L1-VOL001,7
sub_0715,resp_0715,2026-02-13 00:00:00,T-CF-L2-VOL001,7
sub_0523,resp_0523,2026-03-01 00:00:00,H-SL-L2-VOL001,6
sub_0973,resp_0973,2026-02-09 00:00:00,X-MC-L2-VOL001,6
sub_0067,resp_0067,2026-03-09 00:00:00,H-OS-L1-VOL001,6
sub_0559,resp_0559,2026-01-12 00:00:00,H-SL-L3-VOL001,10
sub_0068,resp_0068,2026-01-01 00:00:00,H-OS-L1-VOL001,3
sub_0886,resp_0886,2026-02-22 00:00:00,X-ME-L3-VOL001,7
sub_0353,resp_0353,2026-02-06 00:00:00,H-CR-L1-VOL001,7
